latitude,longitude,depth,mag,magType,gap,rms,net,id,place
55.1433,-159.5034,33.6,3.1,ml,,0.88,ak,ak0209dm1jfm,"66 km ESE of Sand Point, Alaska"
37.6463318,-118.8335037,5.79,1.07,md,197,0.02,nc,nc73429581,"13km E of Mammoth Lakes, CA"
37.6451683,-118.8361664,5.41,0.86,md,148,0.02,nc,nc73429576,"13km E of Mammoth Lakes, CA"
37.6461678,-118.8349991,5.67,1.06,md,159,0.01,nc,nc73429571,"13km E of Mammoth Lakes, CA"
35.7075,-117.5081667,10.33,1.13,ml,143,0.13,ci,ci38602426,"12km SW of Searles Valley, CA"
37.645668,-118.8293304,6.61,1.39,md,160,0.01,nc,nc73429546,"13km E of Mammoth Lakes, CA"
37.6445007,-118.8321686,6.28,1.41,md,156,0.03,nc,nc73429541,"13km E of Mammoth Lakes, CA"
37.6446648,-118.8323364,6.42,1.57,md,155,0.02,nc,nc73429536,"13km E of Mammoth Lakes, CA"
19.20100021,-155.4323273,41.68000031,2.63000011,md,139,0.239999995,hv,hv72055482,"4 km E of Pāhala, Hawaii"
54.7337,-158.2362,25.6,3.7,ml,,0.26,ak,ak0209dlnynj,"143 km SSE of Perryville, Alaska"
38.7955017,-122.7298355,1.68,0.65,md,110,0.04,nc,nc73429516,"3km S of Cobb, CA"
18.97083282,-155.4366608,18.02000046,2.22000003,md,297,0.230000004,hv,hv72055457,"18 km SE of Naalehu, Hawaii"
19.08699989,-155.482666,42.13999939,2.76999998,md,188,0.100000001,hv,hv72055447,"10 km ENE of Naalehu, Hawaii"
54.6617,-160.9213,25.2,2.1,ml,,0.33,ak,ak0209dllwm7,"79 km SSW of Sand Point, Alaska"
19.10899925,-155.4660034,41.34000015,2.67000008,md,175,0.150000006,hv,hv72055442,"10 km S of Pāhala, Hawaii"
19.06966591,-155.4185028,38.04000092,2.1,ml,199,0.230000004,hv,hv72055437,"16 km SSE of Pāhala, Hawaii"
54.9331,-158.3389,13.2,4.5,ml,,0.65,ak,ak0209dlkl0m,"120 km SSE of Perryville, Alaska"
34.3628333,-116.449,7.87,0.97,ml,76,0.2,ci,ci38602394,"28km N of Yucca Valley, CA"
33.2228333,-116.74,10.91,1.22,ml,22,0.18,ci,ci38602354,"3km SE of Lake Henshaw, CA"
54.3443,-160.3185,4.8,4.3,ml,,0.37,ak,ak0209dli6ts,"111 km S of Sand Point, Alaska"
38.1785,-117.8413,15.1,0.4,ml,93.01,0.02,nn,nn00762132,"33 km SE of Mina, Nevada"
54.8867,-158.2714,25.8,3.8,ml,,0.31,ak,ak0209dl43xh,"126 km SSE of Perryville, Alaska"
37.6463318,-118.8303299,5.9,0.98,md,176,0.02,nc,nc73429496,"13km E of Mammoth Lakes, CA"
33.5026667,-116.7835,6.99,0.78,ml,33,0.15,ci,ci38602314,"10km NE of Aguanga, CA"
38.137,-118.0478,0,1,ml,145.32,0.21,nn,nn00762130,"28 km S of Mina, Nevada"
38.1972,-117.8097,5.4,0.4,ml,101.15,0.04,nn,nn00762129,"33 km SE of Mina, Nevada"
33.7086667,-116.7666667,15.6,1.37,ml,25,0.19,ci,ci38602298,"6km SW of Idyllwild, CA"
54.8506,-158.3679,22.35,4.4,mb,151,0.83,us,us7000at2c,"127 km SSE of Perryville, Alaska"
38.2132,-117.8233,0.5,1.4,ml,67.89,0.26,nn,nn00762127,"31 km SE of Mina, Nevada"
54.8677,-158.3326,25.6,3.8,ml,,0.34,ak,ak0209dkxd3e,"127 km SSE of Perryville, Alaska"
36.4471667,-117.95,7.32,1.46,ml,141,0.19,ci,ci38602282,"19km SE of Lone Pine, CA"
37.8728333,-121.8303299,15.33,2.35,md,128,0.09,nc,nc73429481,"9km NE of Blackhawk, CA"
54.8824,-160.2335,28.86,3.5,ml,159,0.5,us,us7000at1k,"53 km SSE of Sand Point, Alaska"
38.2205,-117.7318,8.6,0.9,ml,92.66,0.02,nn,nn00762124,"37 km ESE of Mina, Nevada"
38.1422,-117.9657,14,1,ml,104.83,0.08,nn,nn00762122,"30 km SSE of Mina, Nevada"
44.6258333,-110.6751667,5.2,0.89,md,55,0.16,uu,uu60402997,"34 km E of West Yellowstone, Montana"
48.14766693,-124.9671631,4.730000019,2.78999996,md,329,0.670000017,uw,uw61661346,"35 km SW of Neah Bay, Washington"
49.0959,-128.945,10,5.4,mww,154,1.11,us,us7000at13,"221 km W of Tofino, Canada"
38.1333,-118.0267,9.3,0.8,ml,113.96,0.11,nn,nn00762115,"29 km SSE of Mina, Nevada"
31.9468,-102.3198,5,2.7,mb_lg,43,0.59,us,us7000at0y,"9 km SE of Gardendale, Texas"
38.1538,-117.8797,9,1,ml,111.38,0.08,nn,nn00762112,"33 km SE of Mina, Nevada"
38.1717,-117.972,0.5,1.3,ml,112.68,0.07,nn,nn00762111,"27 km SSE of Mina, Nevada"
44.7448333,-110.854,3.83,1.17,ml,76,0.16,uu,uu60402992,"21 km ENE of West Yellowstone, Montana"
38.1237,-117.8507,10.8,0.6,ml,94.78,0.07,nn,nn00762110,"37 km SE of Mina, Nevada"
35.6026667,-117.455,12.09,1.07,ml,139,0.16,ci,ci38602234,"19km SSW of Searles Valley, CA"
19.19366646,-155.4759979,30.93000031,2.09,ml,87,0.129999995,hv,hv72055282,"1 km SSE of Pāhala, Hawaii"
38.7808342,-122.7198334,1.16,0.91,md,88,0.04,nc,nc73429466,"2km WNW of Anderson Springs, CA"
54.7104,-160.5043,35.46,5.1,mb,182,1,us,us7000at0f,"69 km S of Sand Point, Alaska"
36.1041667,-117.8621667,4.32,0.63,ml,223,0.07,ci,ci38602226,"10km NE of Coso Junction, CA"
39.2013,-120.0912,15.9,0.9,ml,175.41,0.22,nn,nn00762109,"1 km NNE of Dollar Point, California"
19.24033356,-155.3834991,31.97999954,1.94,ml,143,0.129999995,hv,hv72055247,"10 km ENE of Pāhala, Hawaii"
33.6528333,-117.9716667,13.22,1.4,ml,109,0.25,ci,ci38602218,"5km SSE of Huntington Beach, CA"
54.8609,-158.986,20.6,2.3,ml,,0.7,ak,ak0209djsggb,"110 km ESE of Sand Point, Alaska"
33.5888333,-116.8075,5.67,0.31,ml,76,0.15,ci,ci38602210,"13km WNW of Anza, CA"
54.9912,-158.4685,22.3,2.8,ml,,0.69,ak,ak0209djr0qe,"110 km SSE of Perryville, Alaska"
35.6593333,-117.4553333,5.97,1.16,ml,164,0.22,ci,ci38602202,"13km SSW of Searles Valley, CA"
54.649,-160.777,16.4,2,ml,,0.72,ak,ak0209djqr2t,"78 km SSW of Sand Point, Alaska"
