time,latitude,longitude,depth,mag,magType,nst,gap,rms,net,id,place,horizontalError,magNst
2020-07-22T14:12:46.118Z,55.1433,-159.5034,33.6,3.1,ml,,,0.88,ak,ak0209dm1jfm,"66 km ESE of Sand Point, Alaska",,
2020-07-22T14:11:31.060Z,37.6463318,-118.8335037,5.79,1.07,md,9,197,0.02,nc,nc73429581,"13km E of Mammoth Lakes, CA",1.32,11
2020-07-22T14:06:47.920Z,37.6451683,-118.8361664,5.41,0.86,md,10,148,0.02,nc,nc73429576,"13km E of Mammoth Lakes, CA",1.3,11
2020-07-22T14:02:04.490Z,37.6461678,-118.8349991,5.67,1.06,md,9,159,0.01,nc,nc73429571,"13km E of Mammoth Lakes, CA",1.76,9
2020-07-22T14:01:02.830Z,35.7075,-117.5081667,10.33,1.13,ml,12,143,0.13,ci,ci38602426,"12km SW of Searles Valley, CA",0.43,9
2020-07-22T13:56:19.650Z,37.645668,-118.8293304,6.61,1.39,md,15,160,0.01,nc,nc73429546,"13km E of Mammoth Lakes, CA",1.6,15
2020-07-22T13:55:58.820Z,37.6445007,-118.8321686,6.28,1.41,md,19,156,0.03,nc,nc73429541,"13km E of Mammoth Lakes, CA",0.8,18
2020-07-22T13:54:44.560Z,37.6446648,-118.8323364,6.42,1.57,md,19,155,0.02,nc,nc73429536,"13km E of Mammoth Lakes, CA",0.74,18
2020-07-22T13:50:09.110Z,19.20100021,-155.4323273,41.68000031,2.63000011,md,29,139,0.239999995,hv,hv72055482,"4 km E of Pāhala, Hawaii",1.18,6
2020-07-22T13:49:06.841Z,54.7337,-158.2362,25.6,3.7,ml,,,0.26,ak,ak0209dlnynj,"143 km SSE of Perryville, Alaska",,
2020-07-22T13:43:55.560Z,38.7955017,-122.7298355,1.68,0.65,md,7,110,0.04,nc,nc73429516,"3km S of Cobb, CA",0.57,2
2020-07-22T13:41:49.040Z,18.97083282,-155.4366608,18.02000046,2.22000003,md,19,297,0.230000004,hv,hv72055457,"18 km SE of Naalehu, Hawaii",2.98,8
2020-07-22T13:40:48.100Z,19.08699989,-155.482666,42.13999939,2.76999998,md,15,188,0.100000001,hv,hv72055447,"10 km ENE of Naalehu, Hawaii",0.93,4
2020-07-22T13:39:54.094Z,54.6617,-160.9213,25.2,2.1,ml,,,0.33,ak,ak0209dllwm7,"79 km SSW of Sand Point, Alaska",,
2020-07-22T13:39:15.790Z,19.10899925,-155.4660034,41.34000015,2.67000008,md,40,175,0.150000006,hv,hv72055442,"10 km S of Pāhala, Hawaii",1.22,16
2020-07-22T13:38:27.210Z,19.06966591,-155.4185028,38.04000092,2.1,ml,36,199,0.230000004,hv,hv72055437,"16 km SSE of Pāhala, Hawaii",1.11,5
2020-07-22T13:33:38.478Z,54.9331,-158.3389,13.2,4.5,ml,,,0.65,ak,ak0209dlkl0m,"120 km SSE of Perryville, Alaska",,
2020-07-22T13:32:06.360Z,34.3628333,-116.449,7.87,0.97,ml,12,76,0.2,ci,ci38602394,"28km N of Yucca Valley, CA",0.41,16
2020-07-22T13:25:43.450Z,33.2228333,-116.74,10.91,1.22,ml,44,22,0.18,ci,ci38602354,"3km SE of Lake Henshaw, CA",0.22,26
2020-07-22T13:22:19.042Z,54.3443,-160.3185,4.8,4.3,ml,,,0.37,ak,ak0209dli6ts,"111 km S of Sand Point, Alaska",,
2020-07-22T13:13:01.650Z,38.1785,-117.8413,15.1,0.4,ml,10,93.01,0.02,nn,nn00762132,"33 km SE of Mina, Nevada",,
2020-07-22T12:56:49.651Z,54.8867,-158.2714,25.8,3.8,ml,,,0.31,ak,ak0209dl43xh,"126 km SSE of Perryville, Alaska",,
2020-07-22T12:45:36.300Z,37.6463318,-118.8303299,5.9,0.98,md,10,176,0.02,nc,nc73429496,"13km E of Mammoth Lakes, CA",1.39,9
2020-07-22T12:44:25.750Z,33.5026667,-116.7835,6.99,0.78,ml,31,33,0.15,ci,ci38602314,"10km NE of Aguanga, CA",0.18,20
2020-07-22T12:42:41.430Z,38.137,-118.0478,0,1,ml,11,145.32,0.21,nn,nn00762130,"28 km S of Mina, Nevada",,
2020-07-22T12:39:18.910Z,38.1972,-117.8097,5.4,0.4,ml,9,101.15,0.04,nn,nn00762129,"33 km SE of Mina, Nevada",,
2020-07-22T12:38:36.070Z,33.7086667,-116.7666667,15.6,1.37,ml,61,25,0.19,ci,ci38602298,"6km SW of Idyllwild, CA",0.19,27
2020-07-22T12:33:37.142Z,54.8506,-158.3679,22.35,4.4,mb,,151,0.83,us,us7000at2c,"127 km SSE of Perryville, Alaska",3.4,110
2020-07-22T12:25:52.550Z,38.2132,-117.8233,0.5,1.4,ml,11,67.89,0.26,nn,nn00762127,"31 km SE of Mina, Nevada",,
2020-07-22T12:25:02.508Z,54.8677,-158.3326,25.6,3.8,ml,,,0.34,ak,ak0209dkxd3e,"127 km SSE of Perryville, Alaska",,
2020-07-22T12:06:03.640Z,36.4471667,-117.95,7.32,1.46,ml,19,141,0.19,ci,ci38602282,"19km SE of Lone Pine, CA",0.41,16
2020-07-22T11:54:47.490Z,37.8728333,-121.8303299,15.33,2.35,md,43,128,0.09,nc,nc73429481,"9km NE of Blackhawk, CA",0.25,39
2020-07-22T11:51:37.538Z,54.8824,-160.2335,28.86,3.5,ml,,159,0.5,us,us7000at1k,"53 km SSE of Sand Point, Alaska",6.1,34
2020-07-22T11:50:34.290Z,38.2205,-117.7318,8.6,0.9,ml,12,92.66,0.02,nn,nn00762124,"37 km ESE of Mina, Nevada",,
2020-07-22T11:40:07.310Z,38.1422,-117.9657,14,1,ml,13,104.83,0.08,nn,nn00762122,"30 km SSE of Mina, Nevada",,
2020-07-22T11:39:09.390Z,44.6258333,-110.6751667,5.2,0.89,md,17,55,0.16,uu,uu60402997,"34 km E of West Yellowstone, Montana",0.32,8
2020-07-22T11:34:03.560Z,48.14766693,-124.9671631,4.730000019,2.78999996,md,34,329,0.670000017,uw,uw61661346,"35 km SW of Neah Bay, Washington",43.54,7
2020-07-22T11:33:25.683Z,49.0959,-128.945,10,5.4,mww,,154,1.11,us,us7000at13,"221 km W of Tofino, Canada",1.8,10
2020-07-22T11:32:14.300Z,38.1333,-118.0267,9.3,0.8,ml,15,113.96,0.11,nn,nn00762115,"29 km SSE of Mina, Nevada",,
2020-07-22T11:31:32.723Z,31.9468,-102.3198,5,2.7,mb_lg,,43,0.59,us,us7000at0y,"9 km SE of Gardendale, Texas",0.9,67
2020-07-22T11:28:01.290Z,38.1538,-117.8797,9,1,ml,11,111.38,0.08,nn,nn00762112,"33 km SE of Mina, Nevada",,
2020-07-22T11:21:33.820Z,38.1717,-117.972,0.5,1.3,ml,10,112.68,0.07,nn,nn00762111,"27 km SSE of Mina, Nevada",,
2020-07-22T11:21:22.000Z,44.7448333,-110.854,3.83,1.17,ml,16,76,0.16,uu,uu60402992,"21 km ENE of West Yellowstone, Montana",0.33,2
